Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Time slept,Time woken,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-11-01,"3,014","11,255",9.16,14,"1,440",0,0,0,0,,,,,,,,,
2022-11-02,"3,367","15,863",12.69,28,"1,440",0,0,0,0,,,,,,,,,
2022-11-03,"3,239","13,978",11.18,18,"1,113",278,23,26,"1,683",,,,,,,,,
2022-11-04,"3,289","14,649",11.72,15,719,274,10,33,"1,730",12:05AM,6:49AM,364,40,1,404,,,
2022-11-05,"3,476","17,390",14.1,17,750,281,22,53,"1,976",3:24AM,8:58AM,328,6,0,334,,,
2022-11-06,"3,140","12,501",10,14,655,250,10,24,"1,477",1:22AM,7:38AM,358,18,0,376,,,
2022-11-07,"3,819","21,890",17.48,33,619,343,40,56,"2,440",1:41AM,8:03AM,364,18,0,382,,,
2022-11-08,"2,744","7,974",6.38,11,999,54,0,0,223,3:35AM,10:02AM,378,9,0,387,,,
2022-11-09,"3,221","13,214",10.6,15,"1,440",0,0,0,0,,,,,,,,,
2022-11-10,"3,552","16,392",13.26,18,"1,440",0,0,0,0,,,,,,,,,
2022-11-11,"3,039","11,459",9.17,9,"1,440",0,0,0,0,,,,,,,,,
2022-11-12,"3,093","12,880",10.26,12,"1,440",0,0,0,0,,,,,,,,,
2022-11-13,"2,694","6,478",5.19,8,"1,440",0,0,0,0,,,,,,,,,
2022-11-14,"2,943","10,415",8.33,11,"1,440",0,0,0,0,,,,,,,,,
2022-11-15,"3,468","16,088",12.86,28,"1,440",0,0,0,0,,,,,,,,,
2022-11-16,"3,165","12,874",10.27,31,"1,440",0,0,0,0,,,,,,,,,
2022-11-17,"2,830","10,960",8.79,17,"1,440",0,0,0,0,,,,,,,,,
2022-11-18,"1,921","5,793",4.63,5,"1,440",0,0,0,0,,,,,,,,,
2022-11-19,"2,731","7,697",6.16,6,"1,440",0,0,0,0,,,,,,,,,
2022-11-20,"3,091","10,669",8.54,15,"1,440",0,0,0,0,,,,,,,,,
2022-11-21,"2,866","9,954",8.03,14,817,177,8,26,"1,169",2:38AM,9:31AM,391,21,1,412,,,
2022-11-22,"3,576","16,407",13.31,15,745,463,4,0,"2,216",12:43AM,4:31AM,219,9,1,228,,,
2022-11-23,"2,893","9,920",7.94,16,834,217,5,17,"1,232",12:24AM,6:31AM,339,28,2,367,,,
2022-11-24,"3,595","17,618",14.36,15,662,408,2,19,"2,203",1:44AM,7:33AM,336,13,0,349,,,
2022-11-25,"3,497","18,823",15.06,31,"1,114",208,38,80,"1,971",,,,,,,,,
2022-11-26,"2,474","4,987",3.95,5,904,168,0,0,747,2:09AM,8:17AM,359,5,0,368,,,
2022-11-27,"2,678","7,195",5.77,5,957,155,12,10,866,3:07AM,8:14AM,292,14,1,306,,,
2022-11-28,"2,987","11,320",9.06,14,"1,440",0,0,0,0,,,,,,,,,
2022-11-29,"3,548","17,151",13.81,31,"1,440",0,0,0,0,,,,,,,,,
2022-11-30,"3,020","11,882",9.51,9,"1,440",0,0,0,0,,,,,,,,,
2022-08-01,"3,154","6,219",4.98,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-02,"2,566","4,139",3.31,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-03,"2,340","3,802",3.04,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-04,"3,835","13,731",11.08,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-05,"3,211","9,397",7.51,5,"1,440",0,0,0,0,,,,,,,,,
2022-08-06,"3,473","11,339",9.07,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-07,"2,972","5,231",4.18,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-08,"3,673","8,597",6.88,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-09,"2,956","5,737",4.59,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-10,"2,975","7,250",5.8,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-11,"3,003","6,903",5.52,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-12,"4,623","14,441",11.5,31,"1,440",0,0,0,0,,,,,,,,,
2022-08-13,"2,971","7,745",5.86,6,"1,440",0,0,0,0,,,,,,,,,
2022-08-14,"2,844","6,955",6.08,2,"1,440",0,0,0,0,,,,,,,,,
2022-08-15,"3,171","9,918",7.93,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-16,"3,325","9,609",7.69,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-17,"2,987","7,436",5.95,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-18,"2,230","2,110",1.69,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-19,"1,923",7,0.01,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-20,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-21,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-22,"2,266","5,190",4.15,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-23,"3,383","11,563",9.2,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-24,"4,050","11,478",9.08,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-25,"3,456","8,525",6.82,1,"1,440",0,0,0,0,,,,,,,,,
2022-08-26,"3,617","12,581",10.06,0,"1,440",0,0,0,0,,,,,,,,,
2022-08-27,"3,593","9,169",7.34,3,"1,384",35,17,4,318,,,,,,,,,
2022-08-28,"3,537","12,034",9.63,0,"1,101",244,57,38,"1,921",,,,,,,,,
2022-08-29,"4,834","13,822",11.06,15,997,183,94,166,"3,367",,,,,,,,,
2022-08-30,"3,559","7,174",5.73,1,"1,119",204,75,42,"1,880",,,,,,,,,
2022-08-31,"2,992","7,773",6.21,3,"1,202",194,15,29,"1,205",,,,,,,,,
2022-12-01,"3,407","17,777",14.17,25,"1,440",0,0,0,0,,,,,,,,,
2022-12-02,"2,867","9,848",7.79,17,"1,440",0,0,0,0,,,,,,,,,
2022-12-03,"2,706","9,274",7.46,2,"1,440",0,0,0,0,,,,,,,,,
2022-12-04,"2,475","4,990",3.99,2,"1,440",0,0,0,0,,,,,,,,,
2022-12-05,"3,084","12,712",10.1,25,"1,440",0,0,0,0,,,,,,,,,
2022-12-06,"3,210","13,142",10.56,30,"1,440",0,0,0,0,,,,,,,,,
2022-12-07,"1,964",289,0.23,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-08,"2,455","5,765",4.59,9,"1,440",0,0,0,0,,,,,,,,,
2022-12-09,"2,707","8,067",6.45,12,"1,440",0,0,0,0,,,,,,,,,
2022-12-10,"2,649","7,239",5.79,7,"1,440",0,0,0,0,,,,,,,,,
2022-12-11,"2,466","4,350",3.47,4,"1,440",0,0,0,0,,,,,,,,,
2022-12-12,"3,339","14,853",11.92,20,"1,440",0,0,0,0,,,,,,,,,
2022-12-13,"3,001","10,969",8.78,14,"1,440",0,0,0,0,,,,,,,,,
2022-12-14,"2,945","10,378",8.26,14,"1,440",0,0,0,0,,,,,,,,,
2022-12-15,"3,099","11,649",9.32,10,"1,440",0,0,0,0,,,,,,,,,
2022-12-16,"2,661","7,843",6.3,7,"1,440",0,0,0,0,,,,,,,,,
2022-12-17,"1,977",323,0.26,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-18,"2,152","2,389",1.97,6,777,58,0,0,281,1:10PM,2:55PM,100,5,1,105,,,
2022-12-18,"2,152","2,389",1.97,6,777,58,0,0,281,1:16AM,9:36AM,479,21,2,500,,,
2022-12-19,"1,922",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-20,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-21,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-22,"1,921",0,0,0,"1,045",0,0,0,0,,,,,,,,,
2022-12-23,"3,324","12,782",10.32,10,710,419,8,6,"1,918",5:25PM,4:57AM,654,38,3,692,,,
2022-12-24,"2,024",592,0.47,0,"1,124",41,0,0,151,12:57AM,5:32AM,249,26,8,275,,,
2022-12-25,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-26,"3,111","12,371",9.87,8,787,239,8,49,"1,526",1:21AM,7:19AM,334,23,2,357,,,
2022-12-27,"3,223","13,762",10.95,11,602,315,11,10,"1,717",1:07AM,9:29AM,462,37,0,502,,,
2022-12-28,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-29,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-30,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-12-31,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-10-01,"3,159","11,965",9.55,9,748,206,37,31,"1,482",12:43AM,7:42AM,391,27,21,418,99,201,91
2022-10-02,"2,975","8,901",7.12,13,779,226,12,14,"1,260",12:48AM,7:37AM,372,37,14,409,93,212,67
2022-10-03,"3,660","13,004",10.53,14,752,299,24,39,"2,015",1:17AM,6:43AM,283,43,15,326,57,192,34
2022-10-04,"3,780","12,915",10.27,17,622,229,78,48,"2,123",11:21PM,6:44AM,384,59,24,443,90,219,75
2022-10-05,"3,525","14,711",11.71,21,609,305,35,37,"1,986",11:39PM,7:34AM,439,36,1,475,,,
2022-10-06,"3,613","13,924",11.05,19,792,330,27,37,"2,036",5:47AM,10:01AM,251,3,1,254,,,
2022-10-07,"4,347","16,475",12.87,20,640,301,104,73,"2,905",2:41AM,8:03AM,291,31,10,322,78,179,34
2022-10-08,"2,357","3,018",2.41,0,"1,273",42,23,16,499,4:05AM,5:31AM,85,1,0,86,,,
2022-10-09,"3,646","15,122",12.19,4,758,191,76,61,"1,983",12:40AM,6:34AM,346,7,1,354,,,
2022-10-10,"4,649","19,915",15.93,27,567,301,122,102,"3,296",1:10AM,6:58AM,333,12,3,348,,,
2022-10-11,"4,007","16,919",13.5,16,694,210,119,69,"2,444",12:37AM,6:25AM,316,32,17,348,53,236,27
2022-10-12,"3,664","12,193",9.73,17,687,382,34,11,"2,155",1:53AM,7:19AM,295,31,14,326,77,175,43
2022-10-13,"4,101","15,559",12.45,24,605,342,73,59,"2,661",12:57AM,6:58AM,326,35,18,361,91,158,77
2022-10-14,"3,463","12,957",10.28,22,761,278,35,9,"1,818",1:31AM,7:28AM,313,44,14,357,67,187,59
2022-10-15,"2,856","7,986",6.36,9,835,127,5,48,"1,093",1:19AM,8:24AM,408,17,2,425,,,
2022-10-16,"3,592","12,471",9.98,6,767,213,49,59,"1,926",3:07AM,8:59AM,339,13,3,352,,,
2022-10-17,"3,654","12,215",9.67,15,640,375,14,8,"2,088",1:50AM,8:33AM,359,44,25,403,69,246,44
2022-10-18,"3,561","11,313",9.05,15,744,281,55,24,"1,904",4:26AM,10:02AM,333,3,0,336,,,
2022-10-19,"3,675","11,105",8.86,23,686,348,38,15,"2,115",12:54AM,6:47AM,307,46,13,353,70,187,50
2022-10-20,"3,582","11,900",9.51,23,608,294,40,26,"1,935",11:46PM,7:38AM,411,61,19,472,107,254,50
2022-10-21,"3,607","14,248",11.4,11,755,316,29,28,"1,965",11:44PM,4:56AM,286,26,17,312,64,167,55
2022-10-22,"3,224","10,070",8.06,11,721,180,27,49,"1,452",12:19AM,8:02AM,391,72,20,463,110,218,63
2022-10-23,"2,917","7,128",5.7,0,890,200,32,9,"1,188",12:22AM,5:31AM,268,41,14,309,63,189,16
2022-10-24,"4,062","17,027",13.62,21,625,340,62,40,"2,517",12:16AM,6:30AM,327,46,16,373,86,230,11
2022-10-25,"4,353","18,627",14.9,23,480,456,46,37,"2,967",1:33AM,8:35AM,372,49,19,421,70,209,93
2022-10-26,"3,798","18,768",14.98,17,653,251,52,56,"2,161",12:17AM,7:26AM,386,42,17,428,88,224,74
2022-10-27,"4,361","15,447",12.41,25,515,392,93,42,"2,994",1:20AM,7:58AM,379,19,0,398,,,
2022-10-28,"3,573","15,257",12.21,18,660,362,20,12,"2,014",1:31AM,7:57AM,325,61,16,386,55,233,37
2022-10-29,"2,925","9,079",7.26,4,837,151,26,45,"1,212",1:34AM,7:56AM,337,44,16,381,89,213,35
2022-10-30,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-10-31,"2,667","15,230",12.13,16,"1,440",0,0,0,0,,,,,,,,,
2022-09-01,"3,274","11,244",8.96,1,757,289,22,12,"1,617",12:59AM,6:59AM,296,64,19,360,41,209,46
2022-09-02,"2,987","6,162",4.93,2,755,207,16,5,"1,163",1:48AM,9:25AM,411,46,32,457,100,242,69
2022-09-03,"4,845","14,346",11.48,1,466,307,263,26,"3,567",4:43AM,11:01AM,341,37,19,378,73,218,50
2022-09-04,"3,372","4,308",2.62,3,"1,053",232,31,13,"1,501",7:14AM,9:05AM,106,5,0,111,,,
2022-09-05,"5,876","17,183",13.54,4,181,407,248,127,"4,915",11:30AM,7:28PM,430,47,19,477,111,276,43
2022-09-06,"4,542","15,242",12.09,39,559,279,129,89,"3,126",9:22AM,3:46PM,324,60,32,384,46,229,49
2022-09-07,"4,610","18,658",14.93,20,955,275,91,119,"3,183",,,,,,,,,
2022-09-08,"3,433","11,761",9.36,19,"1,104",278,35,23,"1,824",,,,,,,,,
2022-09-09,"3,842","16,618",13.26,21,621,404,14,17,"2,324",11:49PM,6:14AM,341,43,20,384,93,195,53
2022-09-10,"3,822","15,450",12.34,17,603,279,97,50,"2,377",12:51AM,7:42AM,351,60,6,411,,,
2022-09-11,"3,252","6,504",5.2,4,697,297,30,5,"1,611",12:39AM,7:30AM,379,32,1,411,,,
2022-09-12,"4,014","14,515",11.54,44,728,260,81,62,"2,453",1:22AM,6:31AM,294,15,1,309,,,
2022-09-13,"4,138","15,570",12.42,22,603,320,55,55,"2,568",11:57PM,6:44AM,341,66,15,407,83,192,66
2022-09-14,"4,381","17,978",14.22,29,566,417,80,44,"3,008",2:38AM,8:11AM,294,39,20,333,51,175,68
2022-09-15,"3,932","16,129",12.99,23,614,389,45,44,"2,506",12:58AM,6:46AM,305,43,22,348,57,167,81
2022-09-16,"3,261","11,664",9.25,12,966,222,14,19,"1,442",3:08AM,6:47AM,215,4,1,219,,,
2022-09-17,"3,470","14,268",11.28,24,"1,116",273,8,43,"1,825",,,,,,,,,
2022-09-18,"4,727","31,187",24.92,20,783,380,150,63,"3,418",2:48AM,3:52AM,61,3,1,64,,,
2022-09-19,"3,190","13,380",10.75,13,"1,111",191,50,23,"1,529",2:50AM,3:55AM,60,5,0,65,,,
2022-09-20,"3,826","11,361",9.04,13,628,310,42,22,"2,011",2:28AM,9:46AM,395,43,19,438,103,216,76
2022-09-21,"4,476","16,319",13.05,29,517,406,83,58,"3,111",12:37AM,6:53AM,333,43,12,376,102,168,63
2022-09-22,"3,686","13,327",10.53,12,654,366,63,8,"2,178",4:19AM,10:08AM,317,32,20,349,86,178,53
2022-09-23,"3,437","12,832",10.22,14,728,169,51,60,"1,737",1:45AM,8:57AM,395,37,16,432,131,210,54
2022-09-24,"4,226","17,140",13.6,15,639,279,108,72,"2,816",3:30AM,9:13AM,302,40,21,342,56,185,61
2022-09-25,"2,801","8,558",6.7,9,955,74,77,19,"1,061",5:30AM,10:45AM,308,7,0,315,,,
2022-09-26,"3,590","11,000",8.8,20,836,148,27,89,"1,834",3:13AM,8:53AM,316,24,3,340,,,
2022-09-27,"4,522","21,860",17.49,25,646,382,63,78,"3,113",1:27AM,5:58AM,237,34,18,271,29,180,28
2022-09-28,"3,503","13,117",10.45,16,673,288,43,26,"1,899",12:56AM,7:21AM,339,46,17,385,104,170,65
2022-09-29,"3,322","9,500",7.56,8,720,208,51,42,"1,685",11:35PM,6:59AM,394,50,2,444,,,
2022-09-30,"1,921",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-03-01,"3,505","13,208",10.37,21,729,288,48,35,"1,949",3:06AM,8:46AM,297,43,14,340,64,182,51
2022-03-02,"3,769","15,341",12.03,29,827,288,49,45,"2,185",3:07AM,6:59AM,226,5,1,231,,,
2022-03-03,"4,011","20,872",16.41,31,868,281,40,87,"2,493",4:39AM,7:23AM,154,10,2,164,,,
2022-03-04,"3,440","13,150",10.29,25,722,279,27,27,"1,829",1:16AM,7:41AM,342,43,19,385,83,220,39
2022-03-05,"3,495","15,595",12.31,13,"1,065",310,16,49,"2,015",,,,,,,,,
2022-03-06,"3,067","10,280",8.03,15,692,281,5,13,"1,464",3:01AM,10:30AM,410,39,23,449,107,221,82
2022-03-07,"2,046",975,0.77,0,"1,151",48,0,0,188,3:02AM,7:03AM,211,30,12,241,10,162,39
2022-03-08,"1,900",0,0,0,"1,440",0,0,0,0,,,,,,,,,
2022-03-09,"3,425","8,467",6.62,22,"1,133",235,39,33,"1,875",,,,,,,,,
2022-03-10,"3,276","9,673",7.48,14,773,260,26,17,"1,562",6:35AM,12:39PM,318,46,15,364,106,156,56
2022-03-11,"3,751","12,843",9.96,25,691,364,34,10,"2,185",6:05AM,11:46AM,296,45,12,341,72,161,63
2022-03-12,"4,623","25,350",19.88,13,478,314,87,131,"3,307",4:24AM,11:34AM,376,54,19,430,111,182,83
2022-03-13,"3,366","15,142",11.89,18,842,192,16,83,"1,780",4:16AM,9:24AM,269,38,9,307,35,216,18
2022-03-14,"3,503","11,676",9.13,34,736,261,37,36,"1,847",2:24AM,8:34AM,344,26,1,370,,,
2022-03-15,"3,405","12,278",9.61,35,767,274,30,16,"1,758",1:53AM,7:46AM,306,47,5,353,,,
2022-03-16,"4,363","24,032",18.83,33,611,342,41,96,"2,969",1:54AM,7:45AM,305,45,4,350,,,
2022-03-17,"3,304","11,084",8.67,18,789,275,17,16,"1,647",2:52AM,8:35AM,298,45,14,343,63,183,52
2022-03-18,"4,486","26,858",21.07,21,555,270,65,142,"3,120",11:42PM,6:30AM,357,51,18,408,93,186,78
2022-03-19,"3,050","9,190",7.21,7,662,272,12,9,"1,411",3:14AM,11:19AM,425,60,15,485,101,260,64
2022-03-20,"3,389","14,070",10.98,31,670,242,34,42,"1,812",3:01AM,10:33AM,397,55,24,452,99,232,66
2022-03-21,"3,175","10,946",8.57,17,921,299,11,10,"1,564",8:10AM,11:29AM,178,21,8,199,44,107,27
2022-03-22,"3,096","9,411",7.35,20,744,240,16,9,"1,387",2:11AM,9:22AM,372,59,22,431,81,227,64
2022-03-23,"3,856","17,802",13.97,30,"1,044",294,39,63,"2,324",,,,,,,,,
2022-03-24,"3,672","13,717",10.73,23,744,314,57,28,"2,136",5:05AM,10:02AM,261,36,13,297,66,150,45
2022-03-25,"3,795","15,678",12.31,15,678,353,39,25,"2,293",3:58AM,9:43AM,327,18,1,345,,,
2022-03-26,"4,569","25,327",19.83,33,531,232,88,153,"3,240",3:07AM,10:24AM,415,20,1,436,,,
2022-03-27,"3,395","14,097",11.02,25,785,167,71,62,"1,804",4:17AM,10:12AM,309,46,16,355,70,203,36
2022-03-28,"3,547","15,925",12.5,34,839,275,35,33,"1,973",3:40AM,7:58AM,232,26,12,258,67,108,57
2022-03-29,"3,861","16,567",13.01,27,705,263,79,41,"2,275",1:51AM,7:43AM,313,39,19,352,73,206,34
2022-03-30,"2,266","2,184",1.69,0,954,88,6,0,439,2:23AM,8:55AM,332,60,22,392,51,225,56
2022-03-31,"3,469","10,898",8.51,10,556,214,65,33,"1,778",10:12PM,7:44AM,482,90,29,572,39,373,70
2022-01-01,"3,737","10,658",8.37,1,678,251,72,39,"2,057",6:10AM,12:51PM,346,54,26,400,66,234,46
2022-01-02,"3,429","9,028",7.08,9,716,208,48,53,"1,827",2:42AM,9:37AM,385,30,1,415,,,
2022-01-03,"2,662","7,934",6.23,0,"1,306",58,19,57,911,,,,,,,,,
2022-01-04,"2,212",593,0.47,0,"1,058",69,0,0,338,5:07AM,10:21AM,264,49,10,313,63,149,52
2022-01-05,"2,860","3,886",3.05,1,863,211,0,0,"1,043",5:21AM,11:27AM,340,26,1,366,,,
2022-01-06,"2,994","6,128",4.81,1,805,193,28,7,"1,163",6:56AM,1:43PM,369,38,24,407,90,191,88
2022-01-07,"2,737","5,170",4.06,0,888,194,3,5,952,7:13AM,1:03PM,339,11,0,350,,,
2022-01-08,"4,170","19,808",14.63,0,670,267,127,50,"2,655",7:48AM,1:15PM,316,8,1,326,,,
2022-01-09,"4,022","19,310",15.15,7,760,240,146,50,"2,615",7:18AM,11:23AM,236,8,1,244,,,
