date,overall,sociability,health,happiness,energy,positivity,moment,uniqueness,excitement,productivity,integrity,purpose,bottles drank,times peed,time slept,time awaked,total sleep time,effectiveness (Am I SPENDING the RIGHT TIME),Sleep Min,Sleep Hr,Awake Hr,% of planned output
2022-01-01,8.8,,9.0,8.8,,,,,,,,,4.0,,6.3,12.8,6.5,7.0,15.0,6.0,12.0,
2022-01-02,7.9,,8.3,7.5,,,,,,,,,4.4,,2.7,9.7,7.0,7.0,42.0,2.0,9.0,
2022-01-03,7.9,,7.7,8.0,6.5,,,,,,,,3.2,,4.7,10.2,5.5,7.5,40.0,4.0,10.0,
2022-01-04,8.6,,8.5,8.5,8.4,,,,,8.3,,,5.2,,5.3,10.4,5.1,8.8,20.0,5.0,10.0,
2022-01-05,7.4,,7.3,8.0,7.0,,,,,,,,3.6,,5.3,11.5,6.2,7.0,20.0,5.0,11.0,
2022-01-06,7.8,,7.6,8.0,8.5,,,,,,,,3.4,,6.9,13.7,6.8,7.5,55.0,6.0,13.0,
2022-01-07,8.7,8.2,9.0,8.8,8.8,,,,,,,,4.0,,7.2,13.3,6.1,7.0,10.0,7.0,13.0,
2022-01-08,8.4,8.7,8.4,8.0,8.3,,,,,,,,4.6,,7.8,13.2,5.4,,48.0,7.0,13.0,
2022-01-09,8.9,7.8,9.0,9.0,8.6,,,,,,,,4.0,,7.3,11.4,4.1,,15.0,7.0,11.0,
2022-01-10,8.8,,8.0,8.8,,,,,,,,,2.6,,7.3,15.3,8.0,8.8,15.0,7.0,15.0,
2022-01-11,9.1,8.7,8.9,9.2,9.5,,,,,,,,,,8.0,16.0,8.0,,1.0,8.0,16.0,
2022-01-12,7.7,7.0,7.6,7.2,8.6,,,,,9.5,,,3.0,,1.5,4.3,2.8,8.3,30.0,1.0,4.0,
2022-01-13,7.9,,7.5,7.0,8.8,,,,,10.0,,,3.2,,,,,8.8,,,,
2022-01-14,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,,,,,,,,,,,,,,,,,,,,,,
2022-01-16,8.4,7.0,7.8,8.6,8.0,,,,,,,,2.0,,0.5,6.5,6.0,,30.0,0.0,6.0,
2022-01-17,7.8,6.9,7.3,7.4,8.3,,,,,8.0,,,,,0.5,5.8,5.3,7.4,30.0,0.0,5.0,
2022-01-18,8.8,8.7,8.0,9.0,7.2,,,,,,,,,,0.2,7.5,7.3,,10.0,0.0,7.0,
2022-01-19,8.7,9.0,8.6,8.5,8.7,,,,,8.0,,,,,0.5,7.0,6.5,8.5,31.0,0.0,7.0,90.0
2022-01-20,,,,,,,,,,,,,,,,,,,,,,
2022-01-21,,,,,,,,,,,,,,,1.0,8.2,7.2,,1.0,1.0,8.0,
2022-01-22,8.0,8.0,8.7,8.1,8.5,,,,,7.9,,,,,1.1,7.0,5.9,7.7,7.0,1.0,7.0,
2022-01-23,,,,,,,,,,,,,,,0.0,5.8,5.8,,1.0,0.0,5.0,
2022-01-24,9.4,9.5,9.1,9.4,9.2,,,,,7.7,,,,,,,,8.6,,,,90.0
2022-01-25,8.4,9.0,8.2,8.5,8.0,,,,,7.8,,,,,3.0,8.0,5.0,7.0,1.0,3.0,8.0,
2022-01-26,8.6,9.0,9.3,9.0,7.9,,,,,8.7,,,,,1.7,7.5,5.8,8.0,40.0,1.0,7.0,
2022-01-27,8.6,9.0,8.2,9.0,8.0,,,,,7.8,,,,,,,,8.4,,,,
2022-01-28,9.0,9.0,8.7,9.0,9.0,,,,,9.0,,,,,2.7,11.3,8.6,9.0,40.0,2.0,11.0,100.0
2022-01-29,7.9,8.0,8.6,8.0,8.8,,,,,7.5,,,,,1.7,7.0,5.3,,40.0,1.0,7.0,
2022-01-30,8.0,8.8,8.1,8.2,9.3,,,,,8.7,,,,,0.6,6.0,5.4,6.0,35.0,0.0,6.0,
2022-01-31,8.0,8.3,8.0,8.0,9.2,,,,,8.0,,,,,1.7,8.0,6.3,8.7,40.0,1.0,8.0,
2022-02-01,,,,,,,,,,,,,,,0.3,5.8,5.5,,15.0,0.0,5.0,
2022-02-02,8.1,8.1,7.0,8.7,7.3,,,,,,,,,,0.7,6.7,6.0,,40.0,0.0,6.0,
2022-02-03,9.1,8.2,8.8,9.4,8.9,,,,,,,,,,1.0,7.0,6.0,,1.0,1.0,7.0,
2022-02-04,8.9,9.0,9.0,9.2,9.0,,,,,,,,,,,,,,,,,
2022-02-05,9.5,9.5,8.8,9.6,9.0,,,,,6.0,,,,,5.1,11.8,6.7,7.0,5.0,5.0,11.0,
2022-02-06,8.0,8.5,7.9,,7.3,,,,,8.6,,,,,,,,7.0,,,,
2022-02-07,7.7,7.8,7.6,7.8,8.3,,,,,7.0,,,,,,,,7.0,,,,
2022-02-08,8.2,8.5,7.9,8.0,8.0,,,,,9.1,,,,,,,,8.0,,,,
2022-02-09,9.1,9.0,8.8,9.3,8.8,,,,,9.0,,,,,1.9,,,7.9,55.0,1.0,,
2022-02-10,,9.5,9.0,8.3,9.0,,,,,8.0,,,,,1.4,6.8,5.4,,25.0,1.0,6.0,
2022-02-11,,,,,,,,,,,,,,,3.3,10.8,7.5,,15.0,3.0,10.0,
2022-02-12,9.0,9.6,8.8,9.1,8.4,,,,,,,,,,4.7,12.3,7.6,,40.0,4.0,12.0,
2022-02-13,7.0,7.9,7.0,7.9,7.5,,,,,6.0,,,,,0.8,5.0,4.2,6.0,50.0,0.0,5.0,
2022-02-14,9.3,9.5,9.0,9.3,9.0,,,,,,,,,,1.2,6.7,5.5,,10.0,1.0,6.0,
2022-02-15,9.5,9.2,9.1,9.5,8.0,,,,,,,,,,1.2,7.2,6.0,,10.0,1.0,7.0,
2022-02-16,8.2,9.0,8.5,8.0,6.0,,,,,,,,,,0.8,8.3,7.5,,50.0,0.0,8.0,
2022-02-17,9.0,9.0,8.8,9.2,9.0,,,,,,,,,,0.4,5.8,5.4,,25.0,0.0,5.0,
2022-02-18,9.5,9.1,9.0,9.7,9.2,9.0,,,,,,,,,3.9,,,,55.0,3.0,,
2022-02-19,9.2,9.6,8.0,9.1,9.5,9.4,,,,,,,,,,,,,,,,
2022-02-20,8.8,8.0,7.5,8.8,7.0,8.6,,,,,,,,,,,,,,,,
2022-02-21,9.6,8.5,,9.7,9.3,,,,,,,,,,,,,,,,,
2022-02-22,9.7,8.5,,9.8,8.0,,,,,,,,,,,,,,,,,
2022-02-23,7.9,8.0,8.6,8.2,7.6,8.8,,,,7.0,,,,,3.8,9.5,5.7,6.0,45.0,3.0,9.0,
2022-02-24,,7.2,7.0,7.6,7.9,7.0,,,,,,,,,2.3,,,,20.0,2.0,,
2022-02-25,8.8,8.0,8.8,9.2,9.0,9.7,,,,,,,,,3.3,,,,15.0,3.0,,
2022-02-26,9.3,9.3,9.0,9.5,9.5,9.4,,,,6.0,,,,,3.5,9.5,6.0,6.0,30.0,3.0,9.0,20.0
2022-02-27,9.3,9.8,9.2,9.6,9.3,,,,,9.0,,,,,1.3,7.0,5.7,8.0,15.0,1.0,7.0,80.0
2022-02-28,9.7,9.8,9.4,9.9,9.7,9.3,,,,8.3,,,,,3.0,8.8,5.8,7.5,1.0,3.0,8.0,100.0
2022-03-01,8.5,9.0,8.6,8.9,8.8,,,,,,,,,,3.2,,,,10.0,3.0,,
2022-03-02,,,,,,,,,,,,,,,,,,,,,,
2022-03-03,8.8,,7.9,8.8,7.0,9.0,,,,,,,,,1.2,8.0,6.8,,10.0,1.0,8.0,
2022-03-04,9.1,9.3,8.8,9.2,9.0,,,,,8.0,,,,,2.3,10.3,8.0,7.3,15.0,2.0,10.0,
2022-03-05,8.8,7.0,8.6,8.5,9.0,8.0,,,,,,,,,3.3,10.5,7.2,,15.0,3.0,10.0,
2022-03-06,9.0,9.0,8.6,9.1,9.2,,,,,9.0,,,,,,,,7.7,,,,
2022-03-07,9.3,9.6,7.9,9.4,7.0,9.3,,,,,,,,,,,,,,,,
2022-03-08,8.8,8.8,8.0,9.0,7.4,,,,,,,,,,,,,,,,,
2022-03-09,9.0,9.5,9.0,9.8,9.0,10.0,,,,,,,,,,,,,,,,
2022-03-10,9.3,9.2,8.0,9.5,9.3,9.3,,,,,,,,,6.0,,,,1.0,6.0,,
2022-03-11,9.2,9.6,7.8,8.5,9.0,9.0,,,,,,,,,4.3,11.7,7.4,,15.0,4.0,11.0,
2022-03-12,,,,,,,,,,,,,,,4.0,10.0,6.0,,1.0,4.0,10.0,
2022-03-13,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,9.3,,,,,,,,,,,,,,,,,,,,,
2022-03-15,9.6,9.6,9.0,9.6,7.0,9.8,,,,,,,,,1.8,7.8,6.0,,45.0,1.0,7.0,
2022-03-16,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,8.4,,7.5,,,,,,,,,,,,,,,,,3.0,,
2022-03-19,,,,,,,,,,,,,,,3.0,10.5,7.5,,1.0,3.0,10.0,
2022-03-20,,,,,,,,,,,,,,,,,,,,,,
2022-03-21,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,,,,,,,,,,,,,,,,,,,,,,
2022-03-23,,,,,,,,,,,,,,,,,,,,,,
2022-03-24,,,,,,,,,,,,,,,,,,,,,,
2022-03-25,,,,,,,,,,,,,,,3.0,10.5,7.5,,1.0,3.0,10.0,
2022-03-26,,,,,,,,,,,,,,,4.5,10.8,6.3,,30.0,4.0,10.0,
2022-03-27,,,,,,,,,,,,,,,3.5,,,,30.0,3.0,,
2022-03-28,8.5,8.4,8.0,9.0,8.4,9.0,,,,,,,,,1.7,7.7,6.0,,40.0,1.0,7.0,
2022-03-29,,,,,,,,,,,,,,,2.3,8.9,6.6,,15.0,2.0,8.0,
2022-03-30,,8.0,,8.5,5.0,,,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,,,,,,,,,,,,,,,6.0,,,,1.0,6.0,,
2022-04-02,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,,,,,,,,,,,,,,,,,,,,5.0,,
2022-04-05,,,,,,,,,,,,,,,4.8,8.8,4.0,,45.0,4.0,8.0,
2022-04-06,,,,,,,,,,,,,,,3.3,9.3,6.0,,15.0,3.0,9.0,
2022-04-07,,,,,,,,,,,,,,,4.0,8.5,4.5,,1.0,4.0,8.0,
2022-04-08,,,,,,,,,,,,,,,5.0,,,,1.0,5.0,,
2022-04-09,8.7,,,,,,,,,,,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,9.0,9.4,8.0,8.7,7.6,8.0,,,,,,,,,6.4,10.5,4.1,,21.0,6.0,10.0,
2022-04-12,,,,,,,,,,,,,,,4.2,2.9,-1.3,,10.0,4.0,2.0,
2022-04-13,9.0,8.5,9.5,9.0,9.5,,,,,,,,,,6.3,,,,20.0,6.0,,
2022-04-14,,,,,,,,,,,,,,,,,,,,,,
2022-04-15,8.7,8.0,9.0,8.4,8.0,,,,,,,,,,,,,,,,,
2022-04-16,8.6,8.0,8.6,8.5,8.0,8.9,,,,,,,,,6.8,,,,45.0,6.0,,
2022-04-17,,,,,,,,,,,,,,,7.3,13.5,6.2,,20.0,7.0,13.0,
2022-04-18,8.7,,8.9,8.6,9.6,,,,,,,,,,6.8,11.9,5.1,,50.0,6.0,11.0,
2022-04-19,,,,,,,,,,,,,,,5.8,11.8,6.0,,45.0,5.0,11.0,
2022-04-20,8.2,,,,,,,,,,,,,,,,,,,,,
2022-04-21,,,,,,,,,,,,,,,,,,,,,,
2022-04-22,8.7,9.0,9.0,8.5,8.0,,,,,,,,,,,,,,,,,
2022-04-23,,,,,,,,,,,,,,,,,,,,,,
2022-04-24,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,9.6,9.5,9.0,9.6,8.8,8.0,,,,,,,,,5.6,,,,35.0,5.0,,
2022-04-29,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,,,,,,,,,,,,,,,4.2,9.0,4.8,,10.0,4.0,9.0,
2022-05-01,9.9,9.7,9.5,10.0,9.5,,,,,,,,,,,,,,0.0,2.0,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,8.1,8.0,8.7,8.0,7.5,8.4,,,,8.5,,,3.0,2.0,11.8,,,7.8,45.0,11.0,,70.0
2022-05-04,,,,,,,,,,,,,,,11.8,7.5,-4.3,,45.0,11.0,7.0,
2022-05-05,8.9,9.3,9.5,8.6,9.6,9.5,,,,9.0,,,5.0,5.0,11.3,,,7.5,15.0,11.0,,80.0
2022-05-06,9.2,9.3,9.0,8.5,9.6,9.3,,,,,,,4.0,5.0,3.3,,,,15.0,3.0,,
2022-05-07,,9.6,,,8.0,,,,,,,,3.0,2.0,,,,,,,,
2022-05-08,9.0,8.9,8.0,8.9,9.3,9.0,,,,9.0,,,5.0,4.0,2.1,,,8.0,5.0,2.0,,100.0
2022-05-09,8.7,9.5,8.5,8.8,8.0,,,,,7.7,,,3.0,5.0,1.3,,,7.5,20.0,1.0,,80.0
2022-05-10,7.6,9.5,7.0,7.7,8.0,8.0,,,,9.0,,,4.0,5.0,,,,6.0,0.0,4.0,,
2022-05-11,,8.2,9.0,9.3,8.6,,,,,7.0,,,5.0,4.0,,,,,,,,
2022-05-12,7.6,8.7,7.0,7.0,8.0,7.5,,,,,,,,,2.8,,,,45.0,2.0,,
2022-05-13,8.0,9.0,7.0,8.2,8.0,8.3,,,,,,,,,4.1,,,,6.0,4.0,,
2022-05-14,,9.3,,8.8,8.5,,,,,,,,4.0,3.0,,,,,,,,
2022-05-15,9.3,9.4,8.8,,9.0,9.5,,,,,,,2.0,,0.9,,,,55.0,0.0,,
2022-05-16,9.0,9.6,9.2,9.3,9.0,9.3,,,,,,,4.0,6.0,1.3,,,,15.0,1.0,,
2022-05-17,8.1,8.7,7.5,8.5,8.2,7.0,,,,,,,5.0,5.0,4.1,10.0,5.9,,5.0,4.0,10.0,
2022-05-18,9.1,9.3,9.1,9.3,8.5,9.6,,,,7.0,,,5.0,5.0,1.8,,,7.0,45.0,1.0,,70.0
2022-05-19,8.0,7.9,8.0,8.0,8.0,8.7,,,,,,,4.0,6.0,12.8,,,,45.0,12.0,,
2022-05-20,9.2,9.0,8.9,9.4,,8.7,,,,,,,,,4.8,,,,45.0,4.0,,
2022-05-21,8.2,8.5,7.7,8.7,8.0,7.9,,,,,,,,,,,,,0.0,3.0,,
2022-05-22,8.1,,8.0,8.6,8.8,8.7,,,,9.0,,,3.0,4.0,12.6,7.8,-4.8,7.8,35.0,12.0,7.0,
2022-05-23,8.6,8.0,7.9,8.7,7.4,,,,,,,,,,2.4,,,,25.0,2.0,,
2022-05-24,9.0,9.5,9.1,9.2,8.2,9.6,,,,7.8,,,5.5,,12.9,8.3,-4.6,,55.0,12.0,8.0,
2022-05-25,8.3,8.3,8.7,,,8.0,,,,,,,3.5,5.0,1.8,8.0,6.2,,50.0,1.0,8.0,
2022-05-26,9.5,9.7,9.0,9.5,9.0,9.8,,,,,,,5.0,5.0,1.5,7.8,6.3,,30.0,1.0,7.0,
2022-05-27,9.2,9.3,9.5,9.1,9.2,9.5,,,,,,,5.0,4.0,2.3,,,,20.0,2.0,,
2022-05-28,9.7,9.6,9.4,9.7,9.5,9.8,,,,,,,6.0,4.0,4.5,10.8,6.3,,30.0,4.0,10.0,
2022-05-29,7.5,,8.0,7.3,6.0,8.3,,,,,,,5.0,5.0,0.1,6.0,5.9,,5.0,0.0,6.0,
2022-05-30,9.1,9.0,8.0,9.0,7.5,9.3,,,,9.0,,,,,1.4,,,7.7,25.0,1.0,,90.0
2022-05-31,8.5,8.0,8.0,8.4,7.5,8.3,,,,9.0,,,,,12.6,,,8.0,35.0,12.0,,90.0
2022-06-01,9.3,9.4,9.2,9.0,8.8,9.4,,,,,,,,,12.7,7.0,-5.7,,42.0,12.0,7.0,
2022-06-02,8.6,9.7,8.0,8.6,8.0,9.0,,,,,,,,,11.4,,,,25.0,11.0,,
2022-06-03,9.0,9.4,8.5,8.6,7.8,,,,,,,,,,,,,,,,,
2022-06-04,8.7,8.3,8.0,8.5,8.0,8.0,,,,,,,8.0,6.0,,,,,,3.0,,
2022-06-05,8.8,8.2,9.2,8.7,9.0,8.9,,,,,,,,,1.5,,,,30.0,1.0,,
2022-06-06,8.6,8.0,9.3,8.6,9.0,9.5,,,,9.0,,,4.0,4.0,1.3,,,9.0,15.0,1.0,,100.0
2022-06-07,9.2,8.6,9.7,9.6,8.8,9.5,,,,,,,,,,,,,,,,
2022-06-08,8.6,8.8,8.0,8.6,8.3,7.8,,,,9.0,,,,,12.8,,,6.0,45.0,12.0,,
2022-06-09,8.5,9.0,8.0,8.5,8.8,9.0,,,,,,,6.0,4.0,2.4,,,,25.0,2.0,,
2022-06-10,8.8,9.4,8.0,8.6,8.5,,,,,,,,6.0,4.0,,,,6.0,,1.0,,
2022-06-11,8.0,8.0,8.9,8.1,8.5,8.5,,,,9.0,,,6.0,6.0,1.5,8.0,6.5,8.0,30.0,1.0,8.0,
2022-06-12,9.2,9.4,8.7,9.0,7.7,9.0,,,,7.8,,,6.0,5.0,2.5,,,7.0,30.0,2.0,,
2022-06-13,9.5,9.3,9.5,9.3,9.0,9.7,,,,,,,,,1.6,,,,35.0,1.0,,
2022-06-14,9.3,8.6,9.4,9.0,8.0,,,,,9.0,,,,,,,,7.9,,,,
2022-06-15,8.6,9.0,8.4,8.7,7.8,8.0,,,,8.8,,,,,,,,7.6,,,,
2022-06-16,9.4,9.0,,,,,,,,,,,,,,,,,,,,
2022-06-17,7.8,8.8,7.0,8.1,7.3,,,,,,,,,,,,,,,,,
2022-06-18,8.5,8.8,7.8,8.3,8.9,7.5,,9.3,,,,,,,,,,6.0,,,,
2022-06-19,8.7,9.0,8.7,8.7,8.4,9.0,,8.7,,8.0,,,,,,,,8.0,,,,
2022-06-20,8.1,8.0,7.8,9.0,7.9,8.3,,7.0,,9.0,,,6.0,5.0,,,,7.0,,,,
2022-06-21,9.4,9.4,9.2,9.6,9.0,9.7,,9.6,,,,,,,,,,,,,,
2022-06-22,7.5,8.1,7.7,8.0,7.8,7.9,,8.8,,,,,,,,,,,,,,
2022-06-23,8.6,8.0,8.0,8.0,8.0,8.0,,8.7,,,,,,,,,,,,,,
2022-06-24,9.0,9.0,8.5,8.8,8.6,8.8,,9.1,,8.7,,,,,12.2,,,7.1,10.0,12.0,,
2022-06-25,9.1,8.7,8.8,8.9,8.0,7.6,,9.2,,,,,,,11.2,,,,10.0,11.0,,
2022-06-26,,9.0,9.3,9.3,8.7,8.4,,9.3,,,,,,,,,,,,,,
2022-06-27,9.0,9.5,8.0,9.0,9.5,9.0,,9.3,,8.0,,,,,,,,6.0,,,,
2022-06-28,9.2,8.8,8.5,9.3,9.3,8.3,7.0,9.5,,,,,,,,,,,,,,
2022-06-29,8.5,8.0,8.0,8.2,8.3,7.8,8.0,88.0,,,,,,,,,,7.0,,,,
2022-06-30,8.9,,8.4,8.5,7.5,,,9.5,,,,,,,,,,,,,,
2022-07-01,,,,,,,,,,,,,,,,,,,,,,
2022-07-02,8.8,8.3,8.5,8.6,8.0,8.4,7.8,9.6,,,,,,,,,,,,,,
2022-07-03,8.1,8.0,8.7,8.2,7.0,8.6,8.5,7.7,,8.8,,,,,,,,7.6,,,,
